date,rainfall (mm),temperature ©
47:58.7,0,28.18333333
47:58.7,0.22,28.38333333
47:58.7,0,27.8125
47:58.7,0,27.75833333
47:58.7,0,28.0375
47:58.7,0,26.79166667
47:58.7,0,28.01666667
47:58.7,0,28.15416667
47:58.7,0,28.02916667
47:58.7,27.43,27.50416667
47:58.7,0.61,26.10833333
47:58.7,0.21,27.02083333
47:58.7,0,27.95833333
47:58.7,0,28.30833333
47:58.7,0,27.7625
47:58.7,11.81,27.575
47:58.7,0,27.4125
47:58.7,21.01,26.22083333
47:58.7,7.02,27.15
47:58.7,0.25,26.31666667
47:58.7,0,26.7125
47:58.7,0,28.1375
47:58.7,0,28.275
47:58.7,0,28.67916667
47:58.7,0.02,27.9125
47:58.7,0,28.39583333
47:58.7,0,28.47916667
47:58.7,0,28.94166667
47:58.7,3.81,28.74166667
47:58.7,0.02,28.275
47:58.7,0,28.70416667
47:58.7,0,29.25833333
47:58.7,19.81,27.53333333
47:58.7,11.63,26.7875
47:58.7,0,28.02083333
47:58.7,1.61,27.5375
47:58.7,24.41,26.6625
47:58.7,0,28.0125
47:58.7,1.41,27.25833333
47:58.7,0,28.36666667
47:58.7,0,28.33333333
47:58.7,2.01,27.0125
47:58.7,1.41,28.49583333
47:58.7,0,28.44166667
47:58.7,0.02,28.4
47:58.7,0.04,27.29166667
47:58.7,0,27.7375
47:58.7,2.61,27.39166667
47:58.7,3.22,27.25416667
47:58.7,0,28.40416667
47:58.7,0,28.6375
47:58.7,0,27.84583333
47:58.7,7.63,27.0375
47:58.7,11.84,26.3875
47:58.7,23.41,25.5875
47:58.7,3.04,24.875
47:58.7,7.21,26.22916667
47:58.7,0,26.38333333
47:58.7,0.02,27.40833333
47:58.7,22.21,25.69583333
47:58.7,0.21,27.22916667
47:58.7,11.01,26.475
47:58.7,1.83,26.4875
47:58.7,0,27.51666667
47:58.7,10.4,27.37916667
47:58.7,37.61,27.56666667
47:58.7,33.6,26.4
47:58.7,0,27.54583333
47:58.7,43.62,26.8125
47:58.7,0.44,26.85833333
47:58.7,0,26.77916667
47:58.7,12.8,26.1
47:58.7,4.22,26.62083333
47:58.7,0.23,26.63333333
47:58.7,11.6,25.94583333
47:58.7,0.82,25.8125
47:58.7,0.01,27.04583333
47:58.7,0.24,27.575
47:58.7,0,27.425
47:58.7,0,28.38333333
47:58.7,10.21,27.15416667
47:58.7,24.26,25.57083333
47:58.7,0,27.27083333
47:58.7,0,27.83333333
47:58.7,0,28.35
47:58.7,0,28.57916667
47:58.7,39.24,27.125
47:58.7,88.23,24.9625
47:58.7,1.82,27.30833333
47:58.7,0,28.4625
47:58.7,0,27.22083333
47:58.7,0,27.93333333
47:58.7,0,27.7
47:58.7,0,28.12083333
47:58.7,21.25,27.225
47:58.7,3.61,26.7625
47:58.7,4.41,26.775
47:58.7,2.02,25.87916667
47:58.7,11.43,25.91666667
47:58.7,0.22,27.0375
47:58.7,1.63,25.75833333
47:58.7,0,27.62083333
47:58.7,0,27.875
47:58.7,1.43,27.75833333
47:58.7,0,27.89583333
47:58.7,0,27.975
47:58.7,0,28.82083333
47:58.7,1.4,29
47:58.7,0,27.94583333
47:58.7,0,29.0125
47:58.7,0,28.90833333
47:58.7,0,29.45
47:58.7,0,29.07916667
47:58.7,0,29.1875
47:58.7,0,28.94166667
47:58.7,0.04,26.4375
47:58.7,27.62,27.425
47:58.7,9.02,26.87083333
47:58.7,46.62,25.17083333
47:58.7,0.21,27.14166667
47:58.7,0,28.2625
47:58.7,2.45,27.92083333
47:58.7,3.61,26.85
47:58.7,8.61,27.24166667
47:58.7,0,28.34166667
47:58.7,9.83,27.93333333
47:58.7,0,28.18333333
47:58.7,0,28.99583333
47:58.7,0,28.23333333
47:58.7,3.61,27.62916667
47:58.7,14.25,26.77916667
47:58.7,0,26.95416667
47:58.7,7.8,26.425
47:58.7,0,27.15416667
47:58.7,0,27.11666667
47:58.7,0,28.39583333
47:58.7,1.21,27.77916667
47:58.7,0.6,28.04166667
47:58.7,3.62,27.9
47:58.7,1.65,26.2625
47:58.7,8.42,26.59166667
47:58.7,0.62,26.62083333
47:58.7,0,28.22916667
47:58.7,0.22,27.5625
47:58.7,0,28.76666667
47:58.7,0,28.22083333
47:58.7,0.02,27.85
47:58.7,0,28.17916667
47:58.7,0.01,28.85416667
47:58.7,13.8,27.6875
47:58.7,2.42,27.53333333
47:58.7,6.02,27.32083333
47:58.7,0,26.97916667
47:58.7,0,26.4875
47:58.7,15.01,27.15
47:58.7,4.43,26.5125
47:58.7,0.21,27.35833333
47:58.7,10,27.575
47:58.7,2.21,27.40833333
47:58.7,0,28.45
47:58.7,0,29.49583333
47:58.7,44.67,25.81666667
47:58.7,0.22,27.05833333
47:58.7,0,27.6
47:58.7,2.42,27.26666667
47:58.7,3.01,27.10416667
47:58.7,0,28.10416667
47:58.7,0,28.34583333
47:58.7,0,28.025
47:58.7,0.41,26.6875
47:58.7,0.81,27.04166667
47:58.7,0,27.85833333
47:58.7,0,27.42916667
47:58.7,12.43,27.55
47:58.7,49.41,26.80416667
47:58.7,1.83,27.025
47:58.7,188.21,25.375
47:58.7,62.86,24.84583333
47:58.7,2.23,26.29583333
47:58.7,0,27.775
47:58.7,0,28.7875
47:58.7,6.24,27.14166667
47:58.7,4.43,27.20416667
47:58.7,0,28.20833333
47:58.7,0,28.17083333
47:58.7,0,28.4625
47:58.7,3.01,27.45
47:58.7,0.21,27.675
47:58.7,0.2,28.3375
47:58.7,2.01,27.675
47:58.7,2.84,26.9375
47:58.7,12.85,25.74583333
47:58.7,53.63,24.6
47:58.7,40.24,25.34583333
47:58.7,0.03,26.88333333
