date,rainfall (mm),temperature (C)
59:21.1,1.02,27.4625
59:21.1,0,27.75833333
59:21.1,0,27.93333333
59:21.1,36.83,25.8875
59:21.1,2.8,25.93333333
59:21.1,0.62,27.16666667
59:21.1,29.64,25.1625
59:21.1,3,26.09166667
59:21.1,0,27.4375
59:21.1,17.2,27.3875
59:21.1,17.22,26.57916667
59:21.1,4.83,26.50416667
59:21.1,0,27.1125
59:21.1,4.8,27.45
59:21.1,19.8,26.93333333
59:21.1,4.61,27.8125
59:21.1,17,26.41666667
59:21.1,12.02,27.50416667
59:21.1,1.65,27.425
59:21.1,22.61,26.72916667
59:21.1,16.81,26.25
59:21.1,0,27.16666667
59:21.1,0.21,26.7625
59:21.1,0,27
59:21.1,0,27.59583333
59:21.1,0,27.43333333
59:21.1,0,27.7375
59:21.1,7.81,26.63333333
59:21.1,1.82,26.81666667
59:21.1,0.81,26.96666667
59:21.1,1.8,27.09583333
59:21.1,3.22,26.77083333
59:21.1,19.01,27.08333333
59:21.1,0.21,25.9625
59:21.1,4.01,27.10833333
59:21.1,0.01,26.59166667
59:21.1,0,27.32083333
59:21.1,3.82,26.5375
59:21.1,0,27.07083333
59:21.1,0.21,26.9375
59:21.1,0,27.32083333
59:21.1,0,27.54166667
59:21.1,0,27.925
59:21.1,15.63,26.6
59:21.1,7.86,26.23333333
59:21.1,8.02,25.675
59:21.1,0,26.32083333
59:21.1,1.61,26.7625
59:21.1,0,26.33333333
59:21.1,0.21,26.21666667
59:21.1,0.6,25.87083333
59:21.1,75.06,24.83333333
59:21.1,0,25.72916667
59:21.1,0,26.20416667
59:21.1,0,26.95416667
59:21.1,22.43,26.275
59:21.1,0.61,26.17916667
59:21.1,32.03,25.52083333
59:21.1,14.83,25.76666667
59:21.1,4.21,25.40833333
59:21.1,0,27.02083333
59:21.1,7.64,25.40416667
59:21.1,0,26.775
59:21.1,26.4,26.64583333
59:21.1,0,26.94166667
59:21.1,0,26.80416667
59:21.1,20.82,26.8375
59:21.1,2.01,26.8
59:21.1,43.61,26.64583333
59:21.1,0,26.9
59:21.1,11.81,26.83333333
59:21.1,7.04,26.24166667
59:21.1,17.6,27.02083333
59:21.1,53.4,26.25833333
59:21.1,9.22,25.93333333
59:21.1,0.01,26.70416667
59:21.1,20.8,27.09166667
59:21.1,0,26.5125
59:21.1,0,26.825
59:21.1,5.4,27.3
59:21.1,0,26.87916667
59:21.1,4.21,26.66666667
59:21.1,17.03,25.30416667
59:21.1,0.21,25.70416667
59:21.1,0,26.73333333
59:21.1,1.61,26.83333333
59:21.1,9.22,26.425
59:21.1,0,27.10416667
59:21.1,0,27.60833333
59:21.1,10.62,25.9875
59:21.1,0,27.44166667
59:21.1,2,26.80416667
59:21.1,7.03,26.40833333
59:21.1,0,26.78333333
59:21.1,0.21,27.075
59:21.1,13.05,25.97083333
59:21.1,0,26.6125
59:21.1,0.61,27.15
59:21.1,5.01,26.275
59:21.1,0,26.27916667
59:21.1,0,26.74583333
59:21.1,0,27.27083333
59:21.1,24.01,26.02083333
59:21.1,0,27.2
59:21.1,0,27.67916667
