state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Perlis,Perlis,6.4032926,100.1345543,7.69,28.57,83.89,78.91,11343900.42,2117.1,1536.89,25.12,33.0,6692.76
Pulau Pinang,Barat Daya,5.3356587,100.2389496,7.81,27.97,90.41,78.35,10229889.02,2961.9,1378.02,25.93,30.71,6364.97
Pulau Pinang,Seberang Perai Selatan,5.26300215,100.38816401127798,7.76,28.03,89.59,80.56,10030575.78,2885.0,1384.92,24.73,32.33,6277.05
Pulau Pinang,Seberang Perai Tengah,5.36107,100.45736,7.81,28.39,89.59,80.56,10030575.78,2885.0,1392.61,25.08,32.68,6277.05
Pulau Pinang,Seberang Perai Utara,5.49928,100.4468,7.81,28.45,88.65,80.43,10246568.04,2665.3,1428.15,25.0,33.0,6414.78
Pulau Pinang,Timur Laut,5.4103136,100.2870311,7.81,28.69,90.41,78.35,10229889.02,2961.9,1394.74,26.63,31.41,6364.97
Sabah,Beaufort,5.3470611,115.7430094,8.09,27.97,82.11,83.8,11467858.23,2065.6,1500.81,24.58,33.01,6945.06
Sabah,Beluran,5.8979788,117.5598077,7.93,27.63,83.27,84.31,12539676.17,1533.9,1461.78,24.57,32.16,6835.11
Sabah,Keningau,5.3316751,116.1523241,8.16,27.23,83.77,80.52,12590872.4,944.6,1578.19,23.33,32.67,7158.73
Sabah,Kinabatangan,5.588993,117.8466525,7.78,27.99,83.16,84.55,12339560.46,1361.1,1444.84,24.82,32.49,6672.2
Sabah,Kota Belud,6.3497629,116.4292891,7.93,28.41,74.0,77.88,12408811.45,889.2,1677.74,24.55,32.92,7461.26
Sabah,Kota Kinabalu,5.9780066,116.0728988,8.15,28.53,78.31,79.57,11608285.34,1101.4,1484.18,26.18,31.2,6934.58
Sabah,Kota Marudu,6.4951419,116.7617535,8.02,28.13,75.45,79.4,12507315.8,707.0,1573.94,24.76,32.76,6967.36
Sabah,Kuala Penyu,5.5675507,115.6008534,8.22,27.74,83.07,85.17,12024204.93,1588.3,1531.87,24.96,31.83,7339.1
