state,district,crop_type,crop_rank_1,crop_rank_2,crop_rank_3,crop_rank_4,crop_rank_5,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum,elev_mean,elev_min,elev_max,slope_mean,slope_min,slope_max,slope_std
Kedah,Kota Setar,herbs,aloe_vera,basil,betel_vine,black_turmeric,candle_tree,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kota Setar,industrial_crops,areca_nut,coconut,coffee,kelulut_bee,mushroom,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kota Setar,spices,asam_gelugor,asam_jawa,calamondin_lime,curry_tree,ginger,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kota Setar,vegetable,angled_loofah,birds_eye_chili,bitter_gourd,bottle_gourd,brinjal,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kuala Muda,cash_crops,sweet_corn,yellow_sugar_cane,cassava,groundnuts,sweet_potato,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
Kedah,Kuala Muda,fruit,durian,banana,watermelon,rambutan,papaya,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
Kedah,Kuala Muda,herbs,betel_vine,petai,aloe_vera,basil,black_turmeric,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
Kedah,Kuala Muda,industrial_crops,coconut,mushroom,nipa_palm,kelulut_bee,areca_nut,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
Kedah,Kuala Muda,spices,lemon_grass,asam_gelugor,asam_jawa,calamondin_lime,curry_tree,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
Kedah,Kuala Muda,vegetable,ladys_finger,pumpkin,cucumber,long_bean,angled_loofah,6.3553784,99.7186457,7.82,28.9,86.25,78.22,11404834.29,1981.8,1530.7,26.95,31.91,6770.79,55.36480483575734,-25.0,1202.0,3.941354644397289,0.0,52.08139801025391,5.2760829207169015
