date,rainfall (mm),temperature (C)
58:31.3,0,28.52083333
58:31.3,24.23,26.44166667
58:31.3,15.44,26.4
58:31.3,36.2,25.6875
58:31.3,0.42,26.32083333
58:31.3,0,27.24583333
58:31.3,0.61,27.28333333
58:31.3,3.01,26.43333333
58:31.3,17,27.15833333
58:31.3,16.81,26.575
58:31.3,0.21,27.175
58:31.3,5.84,27.22083333
58:31.3,24.01,26.25833333
58:31.3,22.8,25.89583333
58:31.3,0.24,27.07916667
58:31.3,2.05,26.48333333
58:31.3,3.42,27.09583333
58:31.3,54.05,25.80833333
58:31.3,40.64,25.85416667
58:31.3,10.02,26.59166667
58:31.3,3.62,27.29166667
58:31.3,35.02,26.25833333
58:31.3,37.63,24.77083333
58:31.3,30.27,25.30833333
58:31.3,27.22,25.24583333
58:31.3,0.02,26.37083333
58:31.3,0,26.8
58:31.3,3.05,25.925
58:31.3,1.61,26.57083333
58:31.3,5.63,26
58:31.3,24.06,24.60833333
58:31.3,0.21,25.75833333
58:31.3,25.83,26.0125
58:31.3,0,26.85
58:31.3,1.82,25.2125
58:31.3,3.64,25.4875
58:31.3,93.23,24.79166667
58:31.3,7.23,24.84583333
58:31.3,0,26.73333333
58:31.3,0,27.29166667
58:31.3,0,26.7625
58:31.3,1.41,26.29583333
58:31.3,0,26.86666667
58:31.3,0,26.58333333
58:31.3,80.81,25.2125
58:31.3,7.43,25.78333333
58:31.3,60.42,26.5
58:31.3,6.21,26.85416667
58:31.3,11.43,26.14166667
58:31.3,15.84,26.12916667
58:31.3,6.22,26.18333333
58:31.3,12.45,26.3625
58:31.3,15.81,26.76666667
58:31.3,14.63,26.44166667
58:31.3,45.43,26.96666667
58:31.3,7.22,26.95416667
58:31.3,1.24,25.46666667
58:31.3,0,27.1875
58:31.3,4.21,26.20416667
58:31.3,11.22,26.8
58:31.3,22.61,26.20833333
58:31.3,0,25.84166667
58:31.3,29.23,25.77916667
58:31.3,0.22,25.67916667
58:31.3,19.01,25.67083333
58:31.3,9.84,26.10833333
58:31.3,0.01,26.475
58:31.3,0,27.30833333
58:31.3,0,27.64166667
58:31.3,3.61,27.00833333
58:31.3,3.61,27.52916667
58:31.3,18.23,26.95416667
58:31.3,0,27.21666667
58:31.3,4.82,26.12916667
58:31.3,16.23,26.09166667
58:31.3,26.61,26.5375
58:31.3,3.4,26.075
58:31.3,0,27.6125
58:31.3,0,26.46666667
58:31.3,0.2,26.87083333
58:31.3,0.2,26.22916667
58:31.3,0,27.88333333
58:31.3,0,28.225
58:31.3,0,27.85833333
